id,id_oferta,titulo_oferta,ocupacion_esco,isco_code,skill_mencionado,skill_tipo_fuente,esco_skill_uri,esco_skill_label,esco_skill_type,esco_skill_reusability,is_essential,is_optional,match_method,matching_version
45,2143169,Operario de Mantenimiento full time,operario de máquinas de embalaje y llenado/operaria de máquinas de embalaje y llenado,C8183,art,nlp_extraction,http://data.europa.eu/esco/skill/3c519634-ed10-47af-9685-00418f3a85a3,etiquetar alimentos,skill,,0,1,exact,v8.3_esco_familias_funcionales
44,2143169,Operario de Mantenimiento full time,operario de máquinas de embalaje y llenado/operaria de máquinas de embalaje y llenado,C8183,logística,nlp_extraction,http://data.europa.eu/esco/skill/b4b3b539-81ae-43aa-a540-0e2ea2c7e802,almacenamiento de alimentos,skill,,0,1,exact,v8.3_esco_familias_funcionales
54,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,autonomía,nlp_extraction,http://data.europa.eu/esco/skill/731101d9-94bc-4805-bff4-9578d1bf03b5,dificultades de aprendizaje,skill,,1,0,exact,v8.3_esco_familias_funcionales
47,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,capacitación,nlp_extraction,http://data.europa.eu/esco/skill/e111620f-090e-4427-a996-21a6e5a2d14f,impartir formación sobre medidas de seguridad,skill,,1,0,exact,v8.3_esco_familias_funcionales
51,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,compromiso,nlp_extraction,http://data.europa.eu/esco/skill/cedd0710-62ae-4ff4-89ae-ac52375f86ec,llevar una clase,skill,,1,0,exact,v8.3_esco_familias_funcionales
46,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,office,nlp_extraction,http://data.europa.eu/esco/skill/128f0b4c-8da7-467b-9196-7c691e067a1e,asignar deberes,skill,,1,0,exact,v8.3_esco_familias_funcionales
52,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,organización,nlp_extraction,http://data.europa.eu/esco/skill/cedd0710-62ae-4ff4-89ae-ac52375f86ec,llevar una clase,skill,,1,0,exact,v8.3_esco_familias_funcionales
56,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,pensamiento crítico,nlp_extraction,http://data.europa.eu/esco/skill/b9bb1f03-15e2-4079-943e-7e483b21725b,formular observaciones constructivas,skill,,1,0,exact,v8.3_esco_familias_funcionales
53,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,planificación,nlp_extraction,http://data.europa.eu/esco/skill/edff6d20-660d-4d33-b412-9a5b664a14be,objetivos del plan de estudios,skill,,1,0,exact,v8.3_esco_familias_funcionales
49,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,proactividad,nlp_extraction,http://data.europa.eu/esco/skill/81ad8286-cc55-4a08-92a6-38474c35c893,estrategias de instrucción,skill,,1,0,exact,v8.3_esco_familias_funcionales
48,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,reparación de pc,nlp_extraction,http://data.europa.eu/esco/skill/6cb9c23b-e3bc-4917-b588-26c4cef9d920,operaciones de mantenimiento,skill,,1,0,exact,v8.3_esco_familias_funcionales
55,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,resolución de problemas,nlp_extraction,http://data.europa.eu/esco/skill/731101d9-94bc-4805-bff4-9578d1bf03b5,dificultades de aprendizaje,skill,,1,0,exact,v8.3_esco_familias_funcionales
50,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,responsabilidad,nlp_extraction,http://data.europa.eu/esco/skill/128f0b4c-8da7-467b-9196-7c691e067a1e,asignar deberes,skill,,1,0,exact,v8.3_esco_familias_funcionales
58,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,java,nlp_extraction,http://data.europa.eu/esco/skill/b78f324d-e16c-43f8-97d2-50d3a7cd1fb3,trabajar en entornos de aprendizaje virtual,skill,,0,1,exact,v8.3_esco_familias_funcionales
57,2143478,Instructor de Informática.,profesor de formación profesional en artes industriales/profesora de formación profesional en artes industriales,C2320,python,nlp_extraction,http://data.europa.eu/esco/skill/de772347-b6f7-425e-8b1c-88a4f41f5ba9,herramientas metalúrgicas,skill,,0,1,exact,v8.3_esco_familias_funcionales
62,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,c++,nlp_extraction,http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82,manejar una caja registradora,skill,,1,0,exact,v8.3_esco_familias_funcionales
70,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,compromiso,nlp_extraction,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,garantizar la satisfacción del cliente,skill,,1,0,exact,v8.3_esco_familias_funcionales
68,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,comunicación,nlp_extraction,http://data.europa.eu/esco/skill/415abd43-e8e5-4643-b5da-5f11307af57a,utilizar distintos métodos de comunicación,skill,,1,0,exact,v8.3_esco_familias_funcionales
63,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,django,nlp_extraction,http://data.europa.eu/esco/skill/a6d697d1-80ba-4175-82d4-43440ed04270,procesar devoluciones,skill,,1,0,exact,v8.3_esco_familias_funcionales
60,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,java,nlp_extraction,http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82,manejar una caja registradora,skill,,1,0,exact,v8.3_esco_familias_funcionales
61,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,javascript,nlp_extraction,http://data.europa.eu/esco/skill/a89c463d-e6f0-417d-9216-b59b92249226,realizar la toma de pedidos,skill,,1,0,exact,v8.3_esco_familias_funcionales
67,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,liderazgo,nlp_extraction,http://data.europa.eu/esco/skill/415abd43-e8e5-4643-b5da-5f11307af57a,utilizar distintos métodos de comunicación,skill,,1,0,exact,v8.3_esco_familias_funcionales
71,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,organización,nlp_extraction,http://data.europa.eu/esco/skill/435efc22-0dcb-487c-b9c4-d4860b6d4c52,organizar las instalaciones de almacenamiento,skill,,1,0,exact,v8.3_esco_familias_funcionales
65,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,photoshop,nlp_extraction,http://data.europa.eu/esco/skill/db7d4f63-5288-4876-be2a-48cbf1fc01fc,posprocesar carne,skill,,1,0,exact,v8.3_esco_familias_funcionales
69,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,proactividad,nlp_extraction,http://data.europa.eu/esco/skill/c81c9ea3-4689-4146-9076-24dd175c69bc,realizar ventas activas,skill,,1,0,exact,v8.3_esco_familias_funcionales
59,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,python,nlp_extraction,http://data.europa.eu/esco/skill/1585fc98-bfe4-461f-97fc-734055a2c3ce,características del producto,skill,,1,0,exact,v8.3_esco_familias_funcionales
64,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,react,nlp_extraction,http://data.europa.eu/esco/skill/a6d697d1-80ba-4175-82d4-43440ed04270,procesar devoluciones,skill,,1,0,exact,v8.3_esco_familias_funcionales
72,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,resolución de problemas,nlp_extraction,http://data.europa.eu/esco/skill/0675eb6d-7918-4248-917b-dbce45b06901,llevar a cabo la reparación de los productos,skill,,1,0,exact,v8.3_esco_familias_funcionales
66,2144019,Preventista,vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos,C5223,trabajo en equipo,nlp_extraction,http://data.europa.eu/esco/skill/415abd43-e8e5-4643-b5da-5f11307af57a,utilizar distintos métodos de comunicación,skill,,1,0,exact,v8.3_esco_familias_funcionales
75,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,administración,nlp_extraction,http://data.europa.eu/esco/skill/ab986bc4-df92-4351-9ac1-aa75af943cf7,realizar tareas administrativas,skill,,1,0,exact,v8.3_esco_familias_funcionales
73,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,excel,nlp_extraction,http://data.europa.eu/esco/skill/e2e15494-65b9-4af5-8b86-53fb51e7e022,gestionar cuentas,skill,,1,0,exact,v8.3_esco_familias_funcionales
77,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,impuestos,nlp_extraction,http://data.europa.eu/esco/skill/e2e15494-65b9-4af5-8b86-53fb51e7e022,gestionar cuentas,skill,,1,0,exact,v8.3_esco_familias_funcionales
74,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,office,nlp_extraction,http://data.europa.eu/esco/skill/7c3865d1-e5a9-4043-a7a4-2e9e30468c0b,realizar actividades corrientes de oficina,skill,,1,0,exact,v8.3_esco_familias_funcionales
78,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,proactivo,nlp_extraction,http://data.europa.eu/esco/skill/526a0eaa-2bee-4e80-989f-cb36f9fbee47,realizar actividades de recaudación de fondos,skill,,1,0,exact,v8.3_esco_familias_funcionales
76,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,recepción,nlp_extraction,http://data.europa.eu/esco/skill/baecd6d9-6db9-45d7-838c-0d192561a9f1,establecer contacto con donantes potenciales,skill,,1,0,exact,v8.3_esco_familias_funcionales
79,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,resolución de problemas,nlp_extraction,http://data.europa.eu/esco/skill/e2e15494-65b9-4af5-8b86-53fb51e7e022,gestionar cuentas,skill,,1,0,exact,v8.3_esco_familias_funcionales
80,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,responsabilidad,nlp_extraction,http://data.europa.eu/esco/skill/ab986bc4-df92-4351-9ac1-aa75af943cf7,realizar tareas administrativas,skill,,1,0,exact,v8.3_esco_familias_funcionales
81,2144364,ADMINISTRATIVA CONTABLE,asistente administrativo para campañas de recaudación de fondos/asistente administrativa para campañas de recaudación de fondos,C3343,archivo,nlp_extraction,http://data.europa.eu/esco/skill/c0156cdb-8587-4278-89e0-075d83e3140b,mantener registros de eventos,skill,,0,1,exact,v8.3_esco_familias_funcionales
82,2145263,Consultor Junior y Semi Junior de Liquidación de Sueldos,consultor de integración de sistemas de TIC/consultora de integración de sistemas de TIC,C2511,atención al detalle,nlp_extraction,http://data.europa.eu/esco/skill/7f0b1a66-ebaf-4c8a-b606-4c1844eb692e,prestar atención a la calidad de los sistemas informáticos,skill,,1,0,exact,v8.3_esco_familias_funcionales
83,2145263,Consultor Junior y Semi Junior de Liquidación de Sueldos,consultor de integración de sistemas de TIC/consultora de integración de sistemas de TIC,C2511,capacitación,nlp_extraction,http://data.europa.eu/esco/skill/6aef2baa-5fa7-4c16-bd28-3e070ec4e4df,educar respecto a la confidencialidad de los datos,skill,,0,1,exact,v8.3_esco_familias_funcionales
84,2145263,Consultor Junior y Semi Junior de Liquidación de Sueldos,consultor de integración de sistemas de TIC/consultora de integración de sistemas de TIC,C2511,comunicación,nlp_extraction,http://data.europa.eu/esco/skill/415abd43-e8e5-4643-b5da-5f11307af57a,utilizar distintos métodos de comunicación,skill,,0,1,exact,v8.3_esco_familias_funcionales
85,2145263,Consultor Junior y Semi Junior de Liquidación de Sueldos,consultor de integración de sistemas de TIC/consultora de integración de sistemas de TIC,C2511,líder,nlp_extraction,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,gestionar proyectos,skill,,0,1,exact,v8.3_esco_familias_funcionales
86,2145263,Consultor Junior y Semi Junior de Liquidación de Sueldos,consultor de integración de sistemas de TIC/consultora de integración de sistemas de TIC,C2511,proactivo,nlp_extraction,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,gestionar proyectos,skill,,0,1,exact,v8.3_esco_familias_funcionales
